image_url,gender,age,smile,emotion,beauty
https://images.gofundme.com/qZy5wXlBbBofiSCD0ehsG40ZTtk=/720x405/https://d2g8igdw686xgo.cloudfront.net/82365211_1724714881402277_r.jpeg,Female,47,97.116,"{'anger': 0.012, 'disgust': 0.048, 'fear': 0.135, 'happiness': 98.562, 'neutral': 0.046, 'sadness': 0.022, 'surprise': 1.175}","{'female_score': 48.495, 'male_score': 55.897}"
https://images.gofundme.com/GPH5NzX_UUAQdIgBuuoPZvi1rzQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/82481949_1725236552770939_r.jpeg,Female,33,98.813,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.01, 'happiness': 99.99, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 65.496, 'male_score': 64.964}"
https://images.gofundme.com/iufZPDU9MUX4Yh7bF0dFkxfZSCA=/720x405/https://d2g8igdw686xgo.cloudfront.net/81824451_1722550849231799_r.jpeg,Female,37,99.846,"{'anger': 0.05, 'disgust': 0.007, 'fear': 0.005, 'happiness': 99.797, 'neutral': 0.026, 'sadness': 0.018, 'surprise': 0.097}","{'female_score': 50.009, 'male_score': 42.337}"
https://images.gofundme.com/b2a2BtGyd-AN08LEha7RKDYrAfo=/720x405/https://d2g8igdw686xgo.cloudfront.net/82215117_1724118515841127_r.jpeg,Male,65,28.259,"{'anger': 0.013, 'disgust': 26.733, 'fear': 0.008, 'happiness': 68.945, 'neutral': 4.284, 'sadness': 0.008, 'surprise': 0.008}","{'female_score': 54.347, 'male_score': 50.172}"
https://images.gofundme.com/3VqR506AoE5B0oZoIzZsMGHnEdQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/82812821_1726509746880950_r.jpg,Male,32,99.115,"{'anger': 0.005, 'disgust': 0.005, 'fear': 0.005, 'happiness': 8.993, 'neutral': 90.874, 'sadness': 0.005, 'surprise': 0.115}","{'female_score': 50.547, 'male_score': 47.898}"
https://images.gofundme.com/09Xx5UydSmgOpcPc5XdQccY0SOM=/720x405/https://d2g8igdw686xgo.cloudfront.net/81487459_1726696977837752_r.png,Female,27,25.652,"{'anger': 0.457, 'disgust': 4.294, 'fear': 21.103, 'happiness': 17.354, 'neutral': 47.603, 'sadness': 6.691, 'surprise': 2.497}","{'female_score': 52.79, 'male_score': 54.09}"
https://images.gofundme.com/dyPLnBjuKpP2fZmP55wJtb12gtU=/720x405/https://d2g8igdw686xgo.cloudfront.net/81021293_1719438255975227_r.png,Female,39,100.0,"{'anger': 0.004, 'disgust': 0.0, 'fear': 0.006, 'happiness': 99.988, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.001}","{'female_score': 54.715, 'male_score': 46.166}"
https://images.gofundme.com/ebL8iyprlu7bzQgAX_d7Oue4HBk=/720x405/https://d2g8igdw686xgo.cloudfront.net/82891887_1726802776468138_r.jpeg,Female,26,21.363,"{'anger': 0.034, 'disgust': 7.064, 'fear': 1.603, 'happiness': 46.672, 'neutral': 0.041, 'sadness': 44.476, 'surprise': 0.11}","{'female_score': 68.107, 'male_score': 66.256}"
https://images.gofundme.com/KZZcvm_AofM-1AOhKnJBAie93P8=/720x405/https://d2g8igdw686xgo.cloudfront.net/81368573_1720790528302623_r.jpeg,Male,24,4.366,"{'anger': 0.022, 'disgust': 0.022, 'fear': 0.022, 'happiness': 0.303, 'neutral': 97.391, 'sadness': 0.041, 'surprise': 2.201}","{'female_score': 55.317, 'male_score': 59.948}"
https://images.gofundme.com/jR5qX1rlPjlm_dMHxUiBxOwnDG4=/720x405/https://d2g8igdw686xgo.cloudfront.net/81712529_1722115799697370_r.jpeg,Male,33,98.398,"{'anger': 0.004, 'disgust': 0.002, 'fear': 0.002, 'happiness': 98.139, 'neutral': 1.85, 'sadness': 0.002, 'surprise': 0.002}","{'female_score': 53.0, 'male_score': 57.07}"
